,Dataset,Model,Layer,Iteration,Accuracy,Plot
79,DTFit,bert-large-cased,8,10,0.675,BERT DTFit
80,DTFit,bert-large-cased,9,1,0.8,BERT DTFit
81,DTFit,bert-large-cased,9,2,0.775,BERT DTFit
82,DTFit,bert-large-cased,9,3,0.7333333333333333,BERT DTFit
83,DTFit,bert-large-cased,9,4,0.7333333333333333,BERT DTFit
84,DTFit,bert-large-cased,9,5,0.7583333333333333,BERT DTFit
85,DTFit,bert-large-cased,9,6,0.7583333333333333,BERT DTFit
86,DTFit,bert-large-cased,9,7,0.7833333333333333,BERT DTFit
87,DTFit,bert-large-cased,9,8,0.7583333333333333,BERT DTFit
88,DTFit,bert-large-cased,9,9,0.7416666666666667,BERT DTFit
89,DTFit,bert-large-cased,9,10,0.7166666666666667,BERT DTFit
90,DTFit,bert-large-cased,10,1,0.775,BERT DTFit
91,DTFit,bert-large-cased,10,2,0.75,BERT DTFit
92,DTFit,bert-large-cased,10,3,0.7166666666666667,BERT DTFit
93,DTFit,bert-large-cased,10,4,0.675,BERT DTFit
94,DTFit,bert-large-cased,10,5,0.7583333333333333,BERT DTFit
95,DTFit,bert-large-cased,10,6,0.75,BERT DTFit
96,DTFit,bert-large-cased,10,7,0.75,BERT DTFit
97,DTFit,bert-large-cased,10,8,0.7583333333333333,BERT DTFit
98,DTFit,bert-large-cased,10,9,0.7833333333333333,BERT DTFit
99,DTFit,bert-large-cased,10,10,0.7583333333333333,BERT DTFit
100,DTFit,bert-large-cased,11,1,0.775,BERT DTFit
101,DTFit,bert-large-cased,11,2,0.8,BERT DTFit
102,DTFit,bert-large-cased,11,3,0.8,BERT DTFit
103,DTFit,bert-large-cased,11,4,0.7833333333333333,BERT DTFit
104,DTFit,bert-large-cased,11,5,0.8,BERT DTFit
105,DTFit,bert-large-cased,11,6,0.8083333333333333,BERT DTFit
106,DTFit,bert-large-cased,11,7,0.8083333333333333,BERT DTFit
107,DTFit,bert-large-cased,11,8,0.7916666666666666,BERT DTFit
108,DTFit,bert-large-cased,11,9,0.8083333333333333,BERT DTFit
109,DTFit,bert-large-cased,11,10,0.7583333333333333,BERT DTFit
110,DTFit,bert-large-cased,12,1,0.8416666666666667,BERT DTFit
111,DTFit,bert-large-cased,12,2,0.825,BERT DTFit
112,DTFit,bert-large-cased,12,3,0.8,BERT DTFit
113,DTFit,bert-large-cased,12,4,0.8166666666666667,BERT DTFit
114,DTFit,bert-large-cased,12,5,0.8416666666666667,BERT DTFit
115,DTFit,bert-large-cased,12,6,0.7583333333333333,BERT DTFit
116,DTFit,bert-large-cased,12,7,0.8416666666666667,BERT DTFit
117,DTFit,bert-large-cased,12,8,0.75,BERT DTFit
118,DTFit,bert-large-cased,12,9,0.85,BERT DTFit
119,DTFit,bert-large-cased,12,10,0.7333333333333333,BERT DTFit
120,DTFit,bert-large-cased,13,1,0.8,BERT DTFit
121,DTFit,bert-large-cased,13,2,0.8,BERT DTFit
122,DTFit,bert-large-cased,13,3,0.7916666666666666,BERT DTFit
123,DTFit,bert-large-cased,13,4,0.8583333333333333,BERT DTFit
124,DTFit,bert-large-cased,13,5,0.8083333333333333,BERT DTFit
125,DTFit,bert-large-cased,13,6,0.7916666666666666,BERT DTFit
126,DTFit,bert-large-cased,13,7,0.8083333333333333,BERT DTFit
127,DTFit,bert-large-cased,13,8,0.8333333333333334,BERT DTFit
128,DTFit,bert-large-cased,13,9,0.7583333333333333,BERT DTFit
129,DTFit,bert-large-cased,13,10,0.8083333333333333,BERT DTFit
130,DTFit,bert-large-cased,14,1,0.7833333333333333,BERT DTFit
131,DTFit,bert-large-cased,14,2,0.8166666666666667,BERT DTFit
132,DTFit,bert-large-cased,14,3,0.7833333333333333,BERT DTFit
133,DTFit,bert-large-cased,14,4,0.7916666666666666,BERT DTFit
