,Dataset,Model,Layer,Iteration,Accuracy
204,DTFit,bert-large-cased,21,5,0.8
205,DTFit,bert-large-cased,21,6,0.8083333333333333
206,DTFit,bert-large-cased,21,7,0.7916666666666666
207,DTFit,bert-large-cased,21,8,0.7833333333333333
208,DTFit,bert-large-cased,21,9,0.8
209,DTFit,bert-large-cased,21,10,0.8333333333333334
210,DTFit,bert-large-cased,22,1,0.7666666666666667
211,DTFit,bert-large-cased,22,2,0.8166666666666667
212,DTFit,bert-large-cased,22,3,0.8083333333333333
213,DTFit,bert-large-cased,22,4,0.75
214,DTFit,bert-large-cased,22,5,0.7833333333333333
215,DTFit,bert-large-cased,22,6,0.7833333333333333
216,DTFit,bert-large-cased,22,7,0.825
217,DTFit,bert-large-cased,22,8,0.8083333333333333
218,DTFit,bert-large-cased,22,9,0.7833333333333333
219,DTFit,bert-large-cased,22,10,0.8416666666666667
220,DTFit,bert-large-cased,23,1,0.775
221,DTFit,bert-large-cased,23,2,0.7166666666666667
222,DTFit,bert-large-cased,23,3,0.7333333333333333
223,DTFit,bert-large-cased,23,4,0.7833333333333333
224,DTFit,bert-large-cased,23,5,0.775
225,DTFit,bert-large-cased,23,6,0.825
226,DTFit,bert-large-cased,23,7,0.7166666666666667
227,DTFit,bert-large-cased,23,8,0.7666666666666667
228,DTFit,bert-large-cased,23,9,0.85
229,DTFit,bert-large-cased,23,10,0.7833333333333333
230,DTFit,bert-large-cased,24,1,0.8
231,DTFit,bert-large-cased,24,2,0.7416666666666667
232,DTFit,bert-large-cased,24,3,0.775
233,DTFit,bert-large-cased,24,4,0.7916666666666666
234,DTFit,bert-large-cased,24,5,0.8
235,DTFit,bert-large-cased,24,6,0.825
236,DTFit,bert-large-cased,24,7,0.7666666666666667
237,DTFit,bert-large-cased,24,8,0.7416666666666667
238,DTFit,bert-large-cased,24,9,0.7666666666666667
239,DTFit,bert-large-cased,24,10,0.725
240,DTFit,bert-large-cased,25,1,0.7833333333333333
241,DTFit,bert-large-cased,25,2,0.8416666666666667
242,DTFit,bert-large-cased,25,3,0.825
243,DTFit,bert-large-cased,25,4,0.7583333333333333
244,DTFit,bert-large-cased,25,5,0.8166666666666667
245,DTFit,bert-large-cased,25,6,0.8166666666666667
246,DTFit,bert-large-cased,25,7,0.7916666666666666
247,DTFit,bert-large-cased,25,8,0.775
