"","Voice","Plausibility","Item","n","mean"
"268","active","implausible","95",13,5.15384615384615
"269","active","implausible","96",14,5.35714285714286
"270","active","implausible","97",15,3.93333333333333
"271","active","implausible","98",13,3.33333333333333
"272","active","implausible","99",14,5.14285714285714
"273","active","plausible","1",14,5.5
"274","active","plausible","10",13,6.30769230769231
"275","active","plausible","100",13,6.69230769230769
"276","active","plausible","101",15,7
"277","active","plausible","102",13,5.07692307692308
"278","active","plausible","103",14,6.35714285714286
"279","active","plausible","104",16,6.1875
"280","active","plausible","105",16,5
"281","active","plausible","106",15,6.46666666666667
"282","active","plausible","107",15,6.13333333333333
"283","active","plausible","108",16,6.3125
"284","active","plausible","109",16,6.6875
"285","active","plausible","11",15,4.93333333333333
"286","active","plausible","110",13,6.23076923076923
"287","active","plausible","111",14,6.42857142857143
"288","active","plausible","112",14,6.35714285714286
"289","active","plausible","113",15,4.93333333333333
"290","active","plausible","114",13,5.38461538461539
"291","active","plausible","115",15,6.26666666666667
"292","active","plausible","116",14,6.57142857142857
"293","active","plausible","117",14,6.35714285714286
"294","active","plausible","118",15,6.6
"295","active","plausible","119",13,6.07692307692308
"296","active","plausible","12",13,6.76923076923077
"297","active","plausible","120",12,6.5
"298","active","plausible","121",13,6.84615384615385
"299","active","plausible","122",13,5.76923076923077
"300","active","plausible","123",14,6.78571428571429
"301","active","plausible","124",13,6.92307692307692
"302","active","plausible","125",13,5.92307692307692
"303","active","plausible","126",15,6.21428571428571
"304","active","plausible","127",15,6.93333333333333
"305","active","plausible","128",13,6.23076923076923
"306","active","plausible","129",15,6.26666666666667
"307","active","plausible","13",15,7
"308","active","plausible","130",16,5.6875
"309","active","plausible","131",15,6.46666666666667
"310","active","plausible","132",13,6.30769230769231
"311","active","plausible","133",15,6.66666666666667
"312","active","plausible","134",12,7
"313","active","plausible","135",14,6.21428571428571
"314","active","plausible","136",16,5.625
"315","active","plausible","137",14,3.42857142857143
"316","active","plausible","138",14,7
"317","active","plausible","139",16,6.8
"318","active","plausible","14",14,6.5
"319","active","plausible","140",13,6.76923076923077
"320","active","plausible","141",14,6.78571428571429
"321","active","plausible","142",13,6
"322","active","plausible","143",14,5.14285714285714
"323","active","plausible","144",14,6.84615384615385
"324","active","plausible","145",15,6.8
"325","active","plausible","146",14,6.35714285714286
"326","active","plausible","147",13,5.92307692307692
"327","active","plausible","148",14,6.69230769230769
"328","active","plausible","149",13,6.76923076923077
"329","active","plausible","15",16,7
"330","active","plausible","150",13,6.84615384615385
"331","active","plausible","151",15,6.86666666666667
"332","active","plausible","152",13,6.15384615384615
"333","active","plausible","153",15,6.46666666666667
"334","active","plausible","154",15,5.73333333333333
"335","active","plausible","155",16,5.5625
"336","active","plausible","156",16,6.375
"337","active","plausible","157",15,6.2
"338","active","plausible","158",15,6.13333333333333
"339","active","plausible","159",16,4.0625
"340","active","plausible","16",15,6.86666666666667
"341","active","plausible","160",16,5.875
"342","active","plausible","161",13,5.92307692307692
"343","active","plausible","162",13,7
"344","active","plausible","163",13,6.15384615384615
"345","active","plausible","164",13,5.07692307692308
"346","active","plausible","165",15,6.73333333333333
"347","active","plausible","166",13,6.61538461538461
"348","active","plausible","167",15,5.73333333333333
"349","active","plausible","168",13,6.46153846153846
"350","active","plausible","169",14,6.71428571428571
"351","active","plausible","17",16,6.375
"352","active","plausible","170",14,7
"353","active","plausible","171",14,6.07142857142857
"354","active","plausible","172",13,6.30769230769231
"355","active","plausible","173",15,6.8
"356","active","plausible","174",12,6.91666666666667
"357","active","plausible","175",13,5.23076923076923
"358","active","plausible","176",13,5.23076923076923
"359","active","plausible","177",16,5.625
"360","active","plausible","178",14,6.42857142857143
"361","active","plausible","179",13,5.38461538461539
"362","active","plausible","18",16,6.75
"363","active","plausible","180",13,4.84615384615385
"364","active","plausible","181",15,6.93333333333333
"365","active","plausible","182",13,6.61538461538461
"366","active","plausible","19",15,6.86666666666667
"367","active","plausible","2",13,5.84615384615385
"368","active","plausible","20",16,6.4375
"369","active","plausible","21",13,6.84615384615385
"370","active","plausible","22",15,5.33333333333333
"371","active","plausible","23",13,5.76923076923077
"372","active","plausible","24",13,5.84615384615385
"373","active","plausible","25",14,3.85714285714286
"374","active","plausible","26",13,6.30769230769231
"375","active","plausible","27",14,6.85714285714286
"376","active","plausible","279",15,7
"377","active","plausible","28",13,6.69230769230769
"378","active","plausible","280",14,6.5
"379","active","plausible","281",13,6.46153846153846
"380","active","plausible","282",14,5.42857142857143
"381","active","plausible","283",14,6.07142857142857
"382","active","plausible","284",14,6.64285714285714
"383","active","plausible","285",15,6.73333333333333
"384","active","plausible","286",15,6.13333333333333
"385","active","plausible","287",14,6.92857142857143
"386","active","plausible","288",12,6.58333333333333
"387","active","plausible","289",15,5.13333333333333
"388","active","plausible","29",14,6.92857142857143
"389","active","plausible","290",13,6.92307692307692
"390","active","plausible","291",15,6.71428571428571
"391","active","plausible","292",13,6.07692307692308
"392","active","plausible","293",16,6.9375
"393","active","plausible","294",14,6.85714285714286
"394","active","plausible","295",13,6.75
"395","active","plausible","296",14,6.71428571428571
"396","active","plausible","297",16,6.375
"397","active","plausible","298",16,6.75
"398","active","plausible","299",15,6.2
"399","active","plausible","3",13,6.30769230769231
"400","active","plausible","30",13,6.07692307692308
"401","active","plausible","300",15,6.26666666666667
"402","active","plausible","301",13,6.15384615384615
"403","active","plausible","302",13,6.30769230769231
"404","active","plausible","303",14,7
"405","active","plausible","304",12,5.5
"406","active","plausible","305",15,7
"407","active","plausible","306",13,6.92307692307692
"408","active","plausible","307",14,6.92857142857143
"409","active","plausible","308",14,6.21428571428571
"410","active","plausible","309",13,6.69230769230769
"411","active","plausible","31",15,6.93333333333333
"412","active","plausible","310",15,6.73333333333333
"413","active","plausible","311",14,5.28571428571429
"414","active","plausible","312",13,6.84615384615385
"415","active","plausible","313",15,6.33333333333333
"416","active","plausible","314",16,6.1875
"417","active","plausible","315",15,5.4
"418","active","plausible","316",15,6.26666666666667
"419","active","plausible","317",15,5.53333333333333
"420","active","plausible","318",13,6.53846153846154
"421","active","plausible","319",13,5.76923076923077
"422","active","plausible","32",13,7
"423","active","plausible","320",12,5.91666666666667
"424","active","plausible","321",16,6.9375
"425","active","plausible","322",14,6.28571428571429
"426","active","plausible","323",15,5.93333333333333
"427","active","plausible","324",13,6
"428","active","plausible","325",14,6.85714285714286
"429","active","plausible","326",13,6.38461538461539
"430","active","plausible","327",15,6.6
"431","active","plausible","328",13,6.83333333333333
"432","active","plausible","329",13,6.15384615384615
"433","active","plausible","33",13,7
"434","active","plausible","330",15,6.2
"435","active","plausible","331",13,7
"436","active","plausible","332",14,6.78571428571429
"437","active","plausible","333",14,6.14285714285714
"438","active","plausible","334",14,6.57142857142857
"439","active","plausible","335",15,4.73333333333333
"440","active","plausible","336",15,5.93333333333333
"441","active","plausible","337",16,5.85714285714286
"442","active","plausible","338",13,6.38461538461539
"443","active","plausible","339",14,5.85714285714286
"444","active","plausible","34",13,6.30769230769231
"445","active","plausible","340",14,6.42857142857143
"446","active","plausible","341",15,6.66666666666667
"447","active","plausible","342",13,6.53846153846154
"448","active","plausible","343",16,6.5
"449","active","plausible","344",14,6.92857142857143
"450","active","plausible","345",15,6.6
"451","active","plausible","346",16,4.5625
"452","active","plausible","347",14,6.21428571428571
"453","active","plausible","348",14,6.42857142857143
"454","active","plausible","349",15,6.6
"455","active","plausible","35",14,6.64285714285714
"456","active","plausible","350",13,6.07692307692308
"457","active","plausible","351",15,6.66666666666667
"458","active","plausible","352",16,5.5625
"459","active","plausible","353",13,6.07692307692308
"460","active","plausible","354",14,6.14285714285714
"461","active","plausible","355",15,6.93333333333333
"462","active","plausible","356",13,5.76923076923077
"463","active","plausible","357",13,6
"464","active","plausible","358",16,6.3125
"465","active","plausible","359",16,6.5
"466","active","plausible","36",13,6.84615384615385
"467","active","plausible","360",15,5.46666666666667
"468","active","plausible","361",15,6.33333333333333
"469","active","plausible","362",13,6.92307692307692
"470","active","plausible","363",14,5.71428571428571
"471","active","plausible","364",13,5.75
"472","active","plausible","365",13,5.76923076923077
"473","active","plausible","366",14,6.57142857142857
"474","active","plausible","367",14,5.92857142857143
"475","active","plausible","368",13,5.07692307692308
"476","active","plausible","37",15,6.73333333333333
"477","active","plausible","38",14,6.57142857142857
"478","active","plausible","39",16,6
"479","active","plausible","4",14,6.57142857142857
"480","active","plausible","40",15,6.6
"481","active","plausible","41",14,6.42857142857143
"482","active","plausible","42",13,4.46153846153846
"483","active","plausible","43",15,6.93333333333333
"484","active","plausible","44",13,6.92307692307692
"485","active","plausible","45",14,6.5
"486","active","plausible","46",12,5.83333333333333
"487","active","plausible","47",13,4.92307692307692
"488","active","plausible","48",14,6.71428571428571
"489","active","plausible","49",13,4.84615384615385
"490","active","plausible","5",15,6.8
"491","active","plausible","50",13,6.76923076923077
"492","active","plausible","51",15,6.06666666666667
"493","active","plausible","52",16,6.75
"494","active","plausible","53",15,6.93333333333333
"495","active","plausible","54",13,5.38461538461539
"496","active","plausible","55",13,6.61538461538461
"497","active","plausible","56",15,6.06666666666667
"498","active","plausible","57",16,6.875
"499","active","plausible","58",14,7
"500","active","plausible","59",13,6.84615384615385
"501","active","plausible","6",16,6.1875
"502","active","plausible","60",13,7
"503","active","plausible","61",15,6.6
"504","active","plausible","62",14,6.92857142857143
"505","active","plausible","63",13,6.92307692307692
"506","active","plausible","64",14,6.71428571428571
"507","active","plausible","65",16,6.4375
"508","active","plausible","66",14,5.78571428571429
"509","active","plausible","67",14,5.42857142857143
"510","active","plausible","68",13,6.61538461538461
"511","active","plausible","69",14,6.5
"512","active","plausible","7",15,6.26666666666667
"513","active","plausible","70",16,5.6875
"514","active","plausible","71",13,6.92307692307692
"515","active","plausible","72",15,6.14285714285714
"516","active","plausible","73",16,6.625
"517","active","plausible","74",13,7
"518","active","plausible","75",15,6.6
"519","active","plausible","76",13,6.38461538461539
"520","active","plausible","77",15,6.26666666666667
"521","active","plausible","78",13,5.92307692307692
"522","active","plausible","79",15,3.66666666666667
"523","active","plausible","8",13,6.69230769230769
"524","active","plausible","80",16,4.375
"525","active","plausible","81",13,6.46153846153846
"526","active","plausible","82",13,6.46153846153846
"527","active","plausible","83",14,7
"528","active","plausible","84",14,6.28571428571429
"529","active","plausible","85",13,6.41666666666667
"530","active","plausible","86",14,6.85714285714286
"531","active","plausible","87",15,7
"532","active","plausible","88",14,6.28571428571429
"533","active","plausible","89",15,6.86666666666667
"534","active","plausible","9",13,6.76923076923077
"535","active","plausible","90",14,6.57142857142857
"536","active","plausible","91",14,6.57142857142857
"537","active","plausible","92",12,4.66666666666667
"538","active","plausible","93",14,5.71428571428571
"539","active","plausible","94",13,6.5
"540","active","plausible","95",15,5.46666666666667
"541","active","plausible","96",16,5.93333333333333
"542","active","plausible","97",13,3.92307692307692
"543","active","plausible","98",14,3.28571428571429
"544","active","plausible","99",13,4.92307692307692
"545","active","plausible0","183",13,5.53846153846154
"546","active","plausible0","184",13,5.69230769230769
"547","active","plausible0","185",13,7
"548","active","plausible0","186",12,7
"549","active","plausible0","187",15,5.33333333333333
"550","active","plausible0","188",13,5.76923076923077
"551","active","plausible0","189",14,5.57142857142857
"552","active","plausible0","190",16,6
"553","active","plausible0","191",15,5.33333333333333
"554","active","plausible0","192",15,6.46666666666667
"555","active","plausible0","193",16,5.9375
"556","active","plausible0","194",15,4.06666666666667
"557","active","plausible0","195",14,3.92857142857143
"558","active","plausible0","196",13,4.76923076923077
"559","active","plausible0","197",15,5.46666666666667
"560","active","plausible0","198",14,5.21428571428571
"561","active","plausible0","199",15,5.53333333333333
"562","active","plausible0","200",13,5.38461538461539
"563","active","plausible0","201",14,5.15384615384615
"564","active","plausible0","202",13,5.30769230769231
"565","active","plausible0","203",13,5.61538461538461
"566","active","plausible0","204",12,5.5
"567","active","plausible0","205",15,6
"568","active","plausible0","206",16,5.625
"569","active","plausible0","207",16,4.875
"570","active","plausible0","208",13,6.38461538461539
"571","active","plausible0","209",15,5.66666666666667
"572","active","plausible0","210",13,4.53846153846154
"573","active","plausible0","211",13,5.61538461538461
"574","active","plausible0","212",14,6.07142857142857
"575","active","plausible0","213",15,6.35714285714286
"576","active","plausible0","214",14,6.92857142857143
"577","active","plausible0","215",16,4.75
"578","active","plausible0","216",13,5.69230769230769
"579","active","plausible0","217",14,6.14285714285714
"580","active","plausible0","218",13,6.15384615384615
"581","active","plausible0","219",14,5.28571428571429
"582","active","plausible0","220",13,6
"583","active","plausible0","221",13,6.46153846153846
"584","active","plausible0","222",16,5.6875
"585","active","plausible0","223",13,7
"586","active","plausible0","224",13,6.30769230769231
"587","active","plausible0","225",14,5.85714285714286
"588","active","plausible0","226",14,5.28571428571429
"589","active","plausible0","227",15,6.66666666666667
"590","active","plausible0","228",14,6.92857142857143
"591","active","plausible0","229",15,5.6
"592","active","plausible0","230",15,4.66666666666667
"593","active","plausible0","231",14,6.35714285714286
"594","active","plausible0","232",13,5.84615384615385
"595","active","plausible0","233",15,4.46666666666667
"596","active","plausible0","234",15,3.53333333333333
"597","active","plausible0","235",14,4.64285714285714
"598","active","plausible0","236",13,4.92307692307692
"599","active","plausible0","237",13,5.92307692307692
"600","active","plausible0","238",12,6.25
"601","active","plausible0","239",15,4.66666666666667
"602","active","plausible0","240",13,5.61538461538461
"603","active","plausible0","241",15,5.5
"604","active","plausible0","242",13,4.33333333333333
"605","active","plausible0","243",16,5.5
"606","active","plausible0","244",16,5.1875
"607","active","plausible0","245",13,6.07692307692308
"608","active","plausible0","246",13,5.61538461538461
"609","active","plausible0","247",14,6.35714285714286
"610","active","plausible0","248",13,6.30769230769231
"611","active","plausible0","249",14,4.57142857142857
"612","active","plausible0","250",14,3.64285714285714
"613","active","plausible0","251",13,6.33333333333333
"614","active","plausible0","252",14,6.57142857142857
"615","active","plausible0","253",15,6.26666666666667
"616","active","plausible0","254",14,5.35714285714286
"617","active","plausible0","255",15,6.33333333333333
"618","active","plausible0","256",13,5.92307692307692
"619","active","plausible0","257",14,6.85714285714286
"620","active","plausible0","258",13,6.07692307692308
"621","active","plausible0","259",15,6.86666666666667
"622","active","plausible0","260",13,5.84615384615385
"623","active","plausible0","261",14,5.23076923076923
"624","active","plausible0","262",13,6.23076923076923
"625","active","plausible0","263",16,6.5625
"626","active","plausible0","264",15,3.6
"627","active","plausible0","265",13,5.84615384615385
"628","active","plausible0","266",13,5.61538461538461
"629","active","plausible0","267",15,6.33333333333333
"630","active","plausible0","268",14,6.07142857142857
"631","active","plausible0","269",13,4.84615384615385
"632","active","plausible0","270",12,6.91666666666667
"633","active","plausible0","271",15,5.8
"634","active","plausible0","272",15,4.33333333333333
"635","active","plausible0","273",13,5.53846153846154
"636","active","plausible0","274",13,5.15384615384615
"637","active","plausible0","275",15,5.8
"638","active","plausible0","276",16,5
"639","active","plausible0","277",15,6.06666666666667
"640","active","plausible0","278",14,6
"641","active","plausible0","369",14,6.35714285714286
"642","active","plausible0","370",13,5.23076923076923
"643","active","plausible0","371",14,6.35714285714286
"644","active","plausible0","372",14,5.5
"645","active","plausible0","373",15,5.8
"646","active","plausible0","374",16,5.6875
"647","active","plausible0","375",13,5.75
"648","active","plausible0","376",15,6.06666666666667
"649","active","plausible0","377",13,5.84615384615385
"650","active","plausible0","378",14,6.42857142857143
"651","active","plausible0","379",15,6.06666666666667
"652","active","plausible0","380",13,6
"653","active","plausible0","381",14,6.57142857142857
"654","active","plausible0","382",14,5.57142857142857
"655","active","plausible0","383",16,6.5625
"656","active","plausible0","384",13,6.76923076923077
"657","active","plausible0","385",13,6.69230769230769
"658","active","plausible0","386",15,5.33333333333333
"659","active","plausible0","387",15,5.86666666666667
"660","active","plausible0","388",13,5.53846153846154
"661","active","plausible0","389",14,6.92857142857143
"662","active","plausible0","390",13,5.84615384615385
"663","active","plausible0","391",16,5.9375
"664","active","plausible0","392",13,6.92307692307692
"665","active","plausible0","393",14,5
"666","active","plausible0","394",14,6.57142857142857
"667","active","plausible0","395",14,6
"668","active","plausible0","396",16,6
"669","active","plausible0","397",13,5.46153846153846
"670","active","plausible0","398",13,5.53846153846154
"671","active","plausible0","399",13,5.07692307692308
"672","active","plausible0","400",14,5.92857142857143
"673","active","plausible0","401",15,6.73333333333333
"674","active","plausible0","402",12,5.75
"675","active","plausible0","403",15,6.71428571428571
"676","active","plausible0","404",14,5.57142857142857
"677","active","plausible0","405",13,5.69230769230769
"678","active","plausible0","406",13,6.61538461538461
"679","active","plausible0","407",15,6.66666666666667
"680","active","plausible0","408",13,6.30769230769231
"681","active","plausible0","409",15,5.6
"682","active","plausible0","410",15,5.13333333333333
"683","active","plausible0","411",15,6.13333333333333
"684","active","plausible0","412",16,5.1875
