,Dataset,Model,VoiceType,TrialType,Layer,Iteration,Accuracy,Plot
76,EventsRev,roberta-large,normal,normal,7,6,0.5,RoBERTa EventsRev
77,EventsRev,roberta-large,normal,normal,7,7,0.375,RoBERTa EventsRev
78,EventsRev,roberta-large,normal,normal,7,8,0.25,RoBERTa EventsRev
79,EventsRev,roberta-large,normal,normal,7,9,0.16666666666666666,RoBERTa EventsRev
80,EventsRev,roberta-large,normal,normal,8,0,0.625,RoBERTa EventsRev
81,EventsRev,roberta-large,normal,normal,8,1,0.75,RoBERTa EventsRev
82,EventsRev,roberta-large,normal,normal,8,2,0.5,RoBERTa EventsRev
83,EventsRev,roberta-large,normal,normal,8,3,0.375,RoBERTa EventsRev
84,EventsRev,roberta-large,normal,normal,8,4,0.5,RoBERTa EventsRev
85,EventsRev,roberta-large,normal,normal,8,5,0.5,RoBERTa EventsRev
86,EventsRev,roberta-large,normal,normal,8,6,0.5,RoBERTa EventsRev
87,EventsRev,roberta-large,normal,normal,8,7,0.5,RoBERTa EventsRev
88,EventsRev,roberta-large,normal,normal,8,8,0.5,RoBERTa EventsRev
89,EventsRev,roberta-large,normal,normal,8,9,0.16666666666666666,RoBERTa EventsRev
90,EventsRev,roberta-large,normal,normal,9,0,0.625,RoBERTa EventsRev
91,EventsRev,roberta-large,normal,normal,9,1,0.375,RoBERTa EventsRev
92,EventsRev,roberta-large,normal,normal,9,2,0.625,RoBERTa EventsRev
93,EventsRev,roberta-large,normal,normal,9,3,0.5,RoBERTa EventsRev
94,EventsRev,roberta-large,normal,normal,9,4,0.375,RoBERTa EventsRev
95,EventsRev,roberta-large,normal,normal,9,5,0.75,RoBERTa EventsRev
96,EventsRev,roberta-large,normal,normal,9,6,0.25,RoBERTa EventsRev
97,EventsRev,roberta-large,normal,normal,9,7,0.625,RoBERTa EventsRev
98,EventsRev,roberta-large,normal,normal,9,8,0.25,RoBERTa EventsRev
99,EventsRev,roberta-large,normal,normal,9,9,0.5,RoBERTa EventsRev
100,EventsRev,roberta-large,normal,normal,10,0,0.75,RoBERTa EventsRev
101,EventsRev,roberta-large,normal,normal,10,1,0.5,RoBERTa EventsRev
102,EventsRev,roberta-large,normal,normal,10,2,0.375,RoBERTa EventsRev
103,EventsRev,roberta-large,normal,normal,10,3,0.625,RoBERTa EventsRev
104,EventsRev,roberta-large,normal,normal,10,4,0.25,RoBERTa EventsRev
105,EventsRev,roberta-large,normal,normal,10,5,0.5,RoBERTa EventsRev
106,EventsRev,roberta-large,normal,normal,10,6,0.5,RoBERTa EventsRev
107,EventsRev,roberta-large,normal,normal,10,7,0.375,RoBERTa EventsRev
108,EventsRev,roberta-large,normal,normal,10,8,0.375,RoBERTa EventsRev
109,EventsRev,roberta-large,normal,normal,10,9,0.5,RoBERTa EventsRev
110,EventsRev,roberta-large,normal,normal,11,0,0.625,RoBERTa EventsRev
111,EventsRev,roberta-large,normal,normal,11,1,0.25,RoBERTa EventsRev
112,EventsRev,roberta-large,normal,normal,11,2,0.625,RoBERTa EventsRev
113,EventsRev,roberta-large,normal,normal,11,3,0.5,RoBERTa EventsRev
114,EventsRev,roberta-large,normal,normal,11,4,0.5,RoBERTa EventsRev
115,EventsRev,roberta-large,normal,normal,11,5,0.5,RoBERTa EventsRev
116,EventsRev,roberta-large,normal,normal,11,6,0.375,RoBERTa EventsRev
117,EventsRev,roberta-large,normal,normal,11,7,0.5,RoBERTa EventsRev
118,EventsRev,roberta-large,normal,normal,11,8,0.5,RoBERTa EventsRev
119,EventsRev,roberta-large,normal,normal,11,9,0.6666666666666666,RoBERTa EventsRev
120,EventsRev,roberta-large,normal,normal,12,0,0.5,RoBERTa EventsRev
121,EventsRev,roberta-large,normal,normal,12,1,0.5,RoBERTa EventsRev
122,EventsRev,roberta-large,normal,normal,12,2,0.5,RoBERTa EventsRev
123,EventsRev,roberta-large,normal,normal,12,3,0.5,RoBERTa EventsRev
124,EventsRev,roberta-large,normal,normal,12,4,0.5,RoBERTa EventsRev
125,EventsRev,roberta-large,normal,normal,12,5,0.5,RoBERTa EventsRev
126,EventsRev,roberta-large,normal,normal,12,6,0.625,RoBERTa EventsRev
127,EventsRev,roberta-large,normal,normal,12,7,0.5,RoBERTa EventsRev
128,EventsRev,roberta-large,normal,normal,12,8,0.5,RoBERTa EventsRev
129,EventsRev,roberta-large,normal,normal,12,9,0.3333333333333333,RoBERTa EventsRev
130,EventsRev,roberta-large,normal,normal,13,0,0.375,RoBERTa EventsRev
131,EventsRev,roberta-large,normal,normal,13,1,0.375,RoBERTa EventsRev
132,EventsRev,roberta-large,normal,normal,13,2,0.625,RoBERTa EventsRev
133,EventsRev,roberta-large,normal,normal,13,3,0.5,RoBERTa EventsRev
134,EventsRev,roberta-large,normal,normal,13,4,0.625,RoBERTa EventsRev
135,EventsRev,roberta-large,normal,normal,13,5,0.375,RoBERTa EventsRev
136,EventsRev,roberta-large,normal,normal,13,6,0.5,RoBERTa EventsRev
137,EventsRev,roberta-large,normal,normal,13,7,0.375,RoBERTa EventsRev
138,EventsRev,roberta-large,normal,normal,13,8,0.125,RoBERTa EventsRev
139,EventsRev,roberta-large,normal,normal,13,9,0.6666666666666666,RoBERTa EventsRev
140,EventsRev,roberta-large,normal,normal,14,0,0.25,RoBERTa EventsRev
141,EventsRev,roberta-large,normal,normal,14,1,0.375,RoBERTa EventsRev
142,EventsRev,roberta-large,normal,normal,14,2,0.75,RoBERTa EventsRev
143,EventsRev,roberta-large,normal,normal,14,3,0.5,RoBERTa EventsRev
144,EventsRev,roberta-large,normal,normal,14,4,0.75,RoBERTa EventsRev
145,EventsRev,roberta-large,normal,normal,14,5,0.5,RoBERTa EventsRev
146,EventsRev,roberta-large,normal,normal,14,6,0.5,RoBERTa EventsRev
147,EventsRev,roberta-large,normal,normal,14,7,0.5,RoBERTa EventsRev
148,EventsRev,roberta-large,normal,normal,14,8,0.5,RoBERTa EventsRev
149,EventsRev,roberta-large,normal,normal,14,9,0.5,RoBERTa EventsRev
150,EventsRev,roberta-large,normal,normal,15,0,0.625,RoBERTa EventsRev
151,EventsRev,roberta-large,normal,normal,15,1,0.5,RoBERTa EventsRev
152,EventsRev,roberta-large,normal,normal,15,2,0.5,RoBERTa EventsRev
153,EventsRev,roberta-large,normal,normal,15,3,0.375,RoBERTa EventsRev
154,EventsRev,roberta-large,normal,normal,15,4,0.5,RoBERTa EventsRev
155,EventsRev,roberta-large,normal,normal,15,5,0.375,RoBERTa EventsRev
156,EventsRev,roberta-large,normal,normal,15,6,0.375,RoBERTa EventsRev
157,EventsRev,roberta-large,normal,normal,15,7,0.625,RoBERTa EventsRev
158,EventsRev,roberta-large,normal,normal,15,8,0.625,RoBERTa EventsRev
159,EventsRev,roberta-large,normal,normal,15,9,0.6666666666666666,RoBERTa EventsRev
160,EventsRev,roberta-large,normal,normal,16,0,0.375,RoBERTa EventsRev
161,EventsRev,roberta-large,normal,normal,16,1,0.375,RoBERTa EventsRev
162,EventsRev,roberta-large,normal,normal,16,2,0.25,RoBERTa EventsRev
163,EventsRev,roberta-large,normal,normal,16,3,0.625,RoBERTa EventsRev
164,EventsRev,roberta-large,normal,normal,16,4,0.5,RoBERTa EventsRev
165,EventsRev,roberta-large,normal,normal,16,5,0.375,RoBERTa EventsRev
166,EventsRev,roberta-large,normal,normal,16,6,0.375,RoBERTa EventsRev
167,EventsRev,roberta-large,normal,normal,16,7,0.5,RoBERTa EventsRev
168,EventsRev,roberta-large,normal,normal,16,8,0.5,RoBERTa EventsRev
169,EventsRev,roberta-large,normal,normal,16,9,0.5,RoBERTa EventsRev
170,EventsRev,roberta-large,normal,normal,17,0,0.625,RoBERTa EventsRev
171,EventsRev,roberta-large,normal,normal,17,1,0.5,RoBERTa EventsRev
172,EventsRev,roberta-large,normal,normal,17,2,0.375,RoBERTa EventsRev
173,EventsRev,roberta-large,normal,normal,17,3,0.375,RoBERTa EventsRev
174,EventsRev,roberta-large,normal,normal,17,4,0.5,RoBERTa EventsRev
175,EventsRev,roberta-large,normal,normal,17,5,0.375,RoBERTa EventsRev
176,EventsRev,roberta-large,normal,normal,17,6,0.5,RoBERTa EventsRev
177,EventsRev,roberta-large,normal,normal,17,7,0.625,RoBERTa EventsRev
178,EventsRev,roberta-large,normal,normal,17,8,0.375,RoBERTa EventsRev
179,EventsRev,roberta-large,normal,normal,17,9,0.5,RoBERTa EventsRev
180,EventsRev,roberta-large,normal,normal,18,0,0.375,RoBERTa EventsRev
181,EventsRev,roberta-large,normal,normal,18,1,0.375,RoBERTa EventsRev
182,EventsRev,roberta-large,normal,normal,18,2,0.375,RoBERTa EventsRev
183,EventsRev,roberta-large,normal,normal,18,3,0.5,RoBERTa EventsRev
184,EventsRev,roberta-large,normal,normal,18,4,0.125,RoBERTa EventsRev
185,EventsRev,roberta-large,normal,normal,18,5,0.375,RoBERTa EventsRev
186,EventsRev,roberta-large,normal,normal,18,6,0.25,RoBERTa EventsRev
187,EventsRev,roberta-large,normal,normal,18,7,0.5,RoBERTa EventsRev
188,EventsRev,roberta-large,normal,normal,18,8,0.375,RoBERTa EventsRev
189,EventsRev,roberta-large,normal,normal,18,9,0.6666666666666666,RoBERTa EventsRev
190,EventsRev,roberta-large,normal,normal,19,0,0.5,RoBERTa EventsRev
191,EventsRev,roberta-large,normal,normal,19,1,0.375,RoBERTa EventsRev
192,EventsRev,roberta-large,normal,normal,19,2,0.375,RoBERTa EventsRev
193,EventsRev,roberta-large,normal,normal,19,3,0.5,RoBERTa EventsRev
194,EventsRev,roberta-large,normal,normal,19,4,0.375,RoBERTa EventsRev
195,EventsRev,roberta-large,normal,normal,19,5,0.5,RoBERTa EventsRev
196,EventsRev,roberta-large,normal,normal,19,6,0.5,RoBERTa EventsRev
197,EventsRev,roberta-large,normal,normal,19,7,0.5,RoBERTa EventsRev
198,EventsRev,roberta-large,normal,normal,19,8,0.375,RoBERTa EventsRev
199,EventsRev,roberta-large,normal,normal,19,9,0.5,RoBERTa EventsRev
200,EventsRev,roberta-large,normal,normal,20,0,0.625,RoBERTa EventsRev
201,EventsRev,roberta-large,normal,normal,20,1,0.5,RoBERTa EventsRev
202,EventsRev,roberta-large,normal,normal,20,2,0.5,RoBERTa EventsRev
203,EventsRev,roberta-large,normal,normal,20,3,0.625,RoBERTa EventsRev
204,EventsRev,roberta-large,normal,normal,20,4,0.5,RoBERTa EventsRev
205,EventsRev,roberta-large,normal,normal,20,5,0.375,RoBERTa EventsRev
206,EventsRev,roberta-large,normal,normal,20,6,0.375,RoBERTa EventsRev
207,EventsRev,roberta-large,normal,normal,20,7,0.25,RoBERTa EventsRev
208,EventsRev,roberta-large,normal,normal,20,8,0.5,RoBERTa EventsRev
209,EventsRev,roberta-large,normal,normal,20,9,0.3333333333333333,RoBERTa EventsRev
210,EventsRev,roberta-large,normal,normal,21,0,0.625,RoBERTa EventsRev
211,EventsRev,roberta-large,normal,normal,21,1,0.625,RoBERTa EventsRev
212,EventsRev,roberta-large,normal,normal,21,2,0.5,RoBERTa EventsRev
213,EventsRev,roberta-large,normal,normal,21,3,0.375,RoBERTa EventsRev
214,EventsRev,roberta-large,normal,normal,21,4,0.375,RoBERTa EventsRev
215,EventsRev,roberta-large,normal,normal,21,5,0.375,RoBERTa EventsRev
216,EventsRev,roberta-large,normal,normal,21,6,0.5,RoBERTa EventsRev
217,EventsRev,roberta-large,normal,normal,21,7,0.375,RoBERTa EventsRev
218,EventsRev,roberta-large,normal,normal,21,8,0.625,RoBERTa EventsRev
219,EventsRev,roberta-large,normal,normal,21,9,0.3333333333333333,RoBERTa EventsRev
220,EventsRev,roberta-large,normal,normal,22,0,0.5,RoBERTa EventsRev
221,EventsRev,roberta-large,normal,normal,22,1,0.375,RoBERTa EventsRev
222,EventsRev,roberta-large,normal,normal,22,2,0.625,RoBERTa EventsRev
223,EventsRev,roberta-large,normal,normal,22,3,0.5,RoBERTa EventsRev
224,EventsRev,roberta-large,normal,normal,22,4,0.5,RoBERTa EventsRev
225,EventsRev,roberta-large,normal,normal,22,5,0.5,RoBERTa EventsRev
226,EventsRev,roberta-large,normal,normal,22,6,0.375,RoBERTa EventsRev
227,EventsRev,roberta-large,normal,normal,22,7,0.625,RoBERTa EventsRev
228,EventsRev,roberta-large,normal,normal,22,8,0.625,RoBERTa EventsRev
229,EventsRev,roberta-large,normal,normal,22,9,0.6666666666666666,RoBERTa EventsRev
230,EventsRev,roberta-large,normal,normal,23,0,0.625,RoBERTa EventsRev
231,EventsRev,roberta-large,normal,normal,23,1,0.75,RoBERTa EventsRev
232,EventsRev,roberta-large,normal,normal,23,2,0.5,RoBERTa EventsRev
233,EventsRev,roberta-large,normal,normal,23,3,0.75,RoBERTa EventsRev
234,EventsRev,roberta-large,normal,normal,23,4,0.5,RoBERTa EventsRev
235,EventsRev,roberta-large,normal,normal,23,5,0.625,RoBERTa EventsRev
236,EventsRev,roberta-large,normal,normal,23,6,0.375,RoBERTa EventsRev
237,EventsRev,roberta-large,normal,normal,23,7,0.25,RoBERTa EventsRev
238,EventsRev,roberta-large,normal,normal,23,8,0.25,RoBERTa EventsRev
239,EventsRev,roberta-large,normal,normal,23,9,0.5,RoBERTa EventsRev
240,EventsAdapt,roberta-large,passive-passive,normal,0,0,0.2692307692307692,RoBERTa EventsAdapt
241,EventsAdapt,roberta-large,passive-passive,normal,0,1,0.25,RoBERTa EventsAdapt
242,EventsAdapt,roberta-large,passive-passive,normal,0,2,0.25,RoBERTa EventsAdapt
243,EventsAdapt,roberta-large,passive-passive,normal,0,3,0.2692307692307692,RoBERTa EventsAdapt
244,EventsAdapt,roberta-large,passive-passive,normal,0,4,0.2692307692307692,RoBERTa EventsAdapt
245,EventsAdapt,roberta-large,passive-passive,normal,0,5,0.4807692307692308,RoBERTa EventsAdapt
246,EventsAdapt,roberta-large,passive-passive,normal,0,6,0.28846153846153844,RoBERTa EventsAdapt
247,EventsAdapt,roberta-large,passive-passive,normal,0,7,0.2692307692307692,RoBERTa EventsAdapt
248,EventsAdapt,roberta-large,passive-passive,normal,0,8,0.28846153846153844,RoBERTa EventsAdapt
249,EventsAdapt,roberta-large,passive-passive,normal,0,9,0.28,RoBERTa EventsAdapt
250,EventsAdapt,roberta-large,passive-passive,normal,1,0,0.5192307692307693,RoBERTa EventsAdapt
251,EventsAdapt,roberta-large,passive-passive,normal,1,1,0.5384615384615384,RoBERTa EventsAdapt
252,EventsAdapt,roberta-large,passive-passive,normal,1,2,0.4423076923076923,RoBERTa EventsAdapt
253,EventsAdapt,roberta-large,passive-passive,normal,1,3,0.36538461538461536,RoBERTa EventsAdapt
254,EventsAdapt,roberta-large,passive-passive,normal,1,4,0.3076923076923077,RoBERTa EventsAdapt
255,EventsAdapt,roberta-large,passive-passive,normal,1,5,0.46153846153846156,RoBERTa EventsAdapt
256,EventsAdapt,roberta-large,passive-passive,normal,1,6,0.38461538461538464,RoBERTa EventsAdapt
257,EventsAdapt,roberta-large,passive-passive,normal,1,7,0.40384615384615385,RoBERTa EventsAdapt
258,EventsAdapt,roberta-large,passive-passive,normal,1,8,0.4230769230769231,RoBERTa EventsAdapt
259,EventsAdapt,roberta-large,passive-passive,normal,1,9,0.34,RoBERTa EventsAdapt
260,EventsAdapt,roberta-large,passive-passive,normal,2,0,0.4807692307692308,RoBERTa EventsAdapt
261,EventsAdapt,roberta-large,passive-passive,normal,2,1,0.40384615384615385,RoBERTa EventsAdapt
262,EventsAdapt,roberta-large,passive-passive,normal,2,2,0.46153846153846156,RoBERTa EventsAdapt
263,EventsAdapt,roberta-large,passive-passive,normal,2,3,0.46153846153846156,RoBERTa EventsAdapt
264,EventsAdapt,roberta-large,passive-passive,normal,2,4,0.40384615384615385,RoBERTa EventsAdapt
265,EventsAdapt,roberta-large,passive-passive,normal,2,5,0.46153846153846156,RoBERTa EventsAdapt
266,EventsAdapt,roberta-large,passive-passive,normal,2,6,0.46153846153846156,RoBERTa EventsAdapt
267,EventsAdapt,roberta-large,passive-passive,normal,2,7,0.40384615384615385,RoBERTa EventsAdapt
268,EventsAdapt,roberta-large,passive-passive,normal,2,8,0.4423076923076923,RoBERTa EventsAdapt
269,EventsAdapt,roberta-large,passive-passive,normal,2,9,0.58,RoBERTa EventsAdapt
270,EventsAdapt,roberta-large,passive-passive,normal,3,0,0.5192307692307693,RoBERTa EventsAdapt
271,EventsAdapt,roberta-large,passive-passive,normal,3,1,0.6153846153846154,RoBERTa EventsAdapt
272,EventsAdapt,roberta-large,passive-passive,normal,3,2,0.5576923076923077,RoBERTa EventsAdapt
273,EventsAdapt,roberta-large,passive-passive,normal,3,3,0.4230769230769231,RoBERTa EventsAdapt
274,EventsAdapt,roberta-large,passive-passive,normal,3,4,0.5769230769230769,RoBERTa EventsAdapt
275,EventsAdapt,roberta-large,passive-passive,normal,3,5,0.6153846153846154,RoBERTa EventsAdapt
276,EventsAdapt,roberta-large,passive-passive,normal,3,6,0.5961538461538461,RoBERTa EventsAdapt
277,EventsAdapt,roberta-large,passive-passive,normal,3,7,0.6153846153846154,RoBERTa EventsAdapt
278,EventsAdapt,roberta-large,passive-passive,normal,3,8,0.6153846153846154,RoBERTa EventsAdapt
279,EventsAdapt,roberta-large,passive-passive,normal,3,9,0.56,RoBERTa EventsAdapt
280,EventsAdapt,roberta-large,passive-passive,normal,4,0,0.4423076923076923,RoBERTa EventsAdapt
281,EventsAdapt,roberta-large,passive-passive,normal,4,1,0.5576923076923077,RoBERTa EventsAdapt
282,EventsAdapt,roberta-large,passive-passive,normal,4,2,0.4807692307692308,RoBERTa EventsAdapt
283,EventsAdapt,roberta-large,passive-passive,normal,4,3,0.46153846153846156,RoBERTa EventsAdapt
284,EventsAdapt,roberta-large,passive-passive,normal,4,4,0.4230769230769231,RoBERTa EventsAdapt
285,EventsAdapt,roberta-large,passive-passive,normal,4,5,0.4807692307692308,RoBERTa EventsAdapt
286,EventsAdapt,roberta-large,passive-passive,normal,4,6,0.4423076923076923,RoBERTa EventsAdapt
287,EventsAdapt,roberta-large,passive-passive,normal,4,7,0.46153846153846156,RoBERTa EventsAdapt
288,EventsAdapt,roberta-large,passive-passive,normal,4,8,0.5576923076923077,RoBERTa EventsAdapt
289,EventsAdapt,roberta-large,passive-passive,normal,4,9,0.42,RoBERTa EventsAdapt
290,EventsAdapt,roberta-large,passive-passive,normal,5,0,0.6153846153846154,RoBERTa EventsAdapt
291,EventsAdapt,roberta-large,passive-passive,normal,5,1,0.5769230769230769,RoBERTa EventsAdapt
292,EventsAdapt,roberta-large,passive-passive,normal,5,2,0.6346153846153846,RoBERTa EventsAdapt
293,EventsAdapt,roberta-large,passive-passive,normal,5,3,0.5192307692307693,RoBERTa EventsAdapt
294,EventsAdapt,roberta-large,passive-passive,normal,5,4,0.6923076923076923,RoBERTa EventsAdapt
295,EventsAdapt,roberta-large,passive-passive,normal,5,5,0.5769230769230769,RoBERTa EventsAdapt
296,EventsAdapt,roberta-large,passive-passive,normal,5,6,0.5961538461538461,RoBERTa EventsAdapt
297,EventsAdapt,roberta-large,passive-passive,normal,5,7,0.5961538461538461,RoBERTa EventsAdapt
298,EventsAdapt,roberta-large,passive-passive,normal,5,8,0.6153846153846154,RoBERTa EventsAdapt
299,EventsAdapt,roberta-large,passive-passive,normal,5,9,0.7,RoBERTa EventsAdapt
300,EventsAdapt,roberta-large,passive-passive,normal,6,0,0.6346153846153846,RoBERTa EventsAdapt
301,EventsAdapt,roberta-large,passive-passive,normal,6,1,0.7115384615384616,RoBERTa EventsAdapt
302,EventsAdapt,roberta-large,passive-passive,normal,6,2,0.6538461538461539,RoBERTa EventsAdapt
303,EventsAdapt,roberta-large,passive-passive,normal,6,3,0.75,RoBERTa EventsAdapt
304,EventsAdapt,roberta-large,passive-passive,normal,6,4,0.6923076923076923,RoBERTa EventsAdapt
305,EventsAdapt,roberta-large,passive-passive,normal,6,5,0.5961538461538461,RoBERTa EventsAdapt
306,EventsAdapt,roberta-large,passive-passive,normal,6,6,0.6346153846153846,RoBERTa EventsAdapt
307,EventsAdapt,roberta-large,passive-passive,normal,6,7,0.5384615384615384,RoBERTa EventsAdapt
308,EventsAdapt,roberta-large,passive-passive,normal,6,8,0.6730769230769231,RoBERTa EventsAdapt
309,EventsAdapt,roberta-large,passive-passive,normal,6,9,0.74,RoBERTa EventsAdapt
310,EventsAdapt,roberta-large,passive-passive,normal,7,0,0.6346153846153846,RoBERTa EventsAdapt
311,EventsAdapt,roberta-large,passive-passive,normal,7,1,0.6730769230769231,RoBERTa EventsAdapt
312,EventsAdapt,roberta-large,passive-passive,normal,7,2,0.6153846153846154,RoBERTa EventsAdapt
313,EventsAdapt,roberta-large,passive-passive,normal,7,3,0.7307692307692307,RoBERTa EventsAdapt
314,EventsAdapt,roberta-large,passive-passive,normal,7,4,0.6730769230769231,RoBERTa EventsAdapt
315,EventsAdapt,roberta-large,passive-passive,normal,7,5,0.75,RoBERTa EventsAdapt
316,EventsAdapt,roberta-large,passive-passive,normal,7,6,0.6538461538461539,RoBERTa EventsAdapt
317,EventsAdapt,roberta-large,passive-passive,normal,7,7,0.6923076923076923,RoBERTa EventsAdapt
318,EventsAdapt,roberta-large,passive-passive,normal,7,8,0.7115384615384616,RoBERTa EventsAdapt
319,EventsAdapt,roberta-large,passive-passive,normal,7,9,0.64,RoBERTa EventsAdapt
320,EventsAdapt,roberta-large,passive-passive,normal,8,0,0.6730769230769231,RoBERTa EventsAdapt
321,EventsAdapt,roberta-large,passive-passive,normal,8,1,0.6923076923076923,RoBERTa EventsAdapt
