"Metric","Experiment","Parameter","Estimate","Std..Error","df","t.value","pVal","Category","pValAdjusted","pLabel","pValFinal"
"SDM","EventsRev","sentence_freq_norm",0.0886779715760573,0.0364560736268186,40.3855174103566,2.43246084270639,0.0195186363292648,"baselines",0.0390372726585296,"*","0.039"
"SDM","EventsRev","NumTokens",-0.0608439690191561,0.0196127714050252,37.7605380286241,-3.10226269213368,0.00362594093068975,"baselines",0.00966917581517267,"**","0.01"
"thematicFit","DTFit","(Intercept)",0.96426940339483,0.711938029475675,673.878230428188,1.35442884559066,0.176053555188382,"baselines",0.23473807358451,"","0.235"
"thematicFit","DTFit","PlausibilityImplausible",-0.0937531916793305,0.00845289773304169,400.408180953533,-11.0912487812146,4.14512979848909e-25,"baselines",1.65805191939564e-24,"***","<0.001"
"thematicFit","DTFit","agent_freq_norm",-0.00725091319202451,0.0109329809682261,395.36319167816,-0.66321465418237,0.507579581437464,"baselines",0.812127330299943,"","0.812"
"thematicFit","DTFit","patient_freq_norm",0.017931487360027,0.00919424819201851,606.182977623019,1.95029403008646,0.051601609684135,"baselines",0.0869678981514046,"","0.087"
"thematicFit","DTFit","verb_freq_norm",-0.00946160208751903,0.0074192737656031,395.362500765511,-1.27527334702009,0.202961354139356,"baselines",0.270615138852474,"","0.271"
"thematicFit","DTFit","sentence_freq_norm",-0.00319646791885533,0.0136498392713992,394.741248090577,-0.234176231331379,0.814969573957883,"baselines",0.831580644278116,"","0.832"
"thematicFit","DTFit","NumTokens",-0.102584010495751,0.142369975793391,673.858966820139,-0.720545254883113,0.471439219163439,"baselines",0.628585625551252,"","0.629"
"thematicFit","EventsRev","(Intercept)",0.623555615180852,0.158257624759127,38.9783142506397,3.94013000087624,0.000327602841195313,"baselines",0.000655205682390625,"***","<0.001"
"thematicFit","EventsRev","PlausibilityImplausible",-0.111806844157042,0.0347921078400216,38.1382710798175,-3.21356914249472,0.00266685843968054,"baselines",0.00355581125290739,"**","0.004"
"thematicFit","EventsRev","agent_freq_norm",-0.0571180017827578,0.0311994849257802,53.9413905153941,-1.83073540856955,0.0726662522573168,"baselines",0.581330018058534,"","0.581"
"thematicFit","EventsRev","patient_freq_norm",0.00825276715366407,0.0323661567280904,61.0095395199053,0.254981375236979,0.799595067912745,"baselines",0.799595067912745,"","0.8"
"thematicFit","EventsRev","verb_freq_norm",-0.0581319916531696,0.0247561194021018,38.1337607643724,-2.34818675370559,0.0241517007222337,"baselines",0.0483034014444673,"*","0.048"
"thematicFit","EventsRev","sentence_freq_norm",0.132576446381388,0.0425011477371186,39.6264540328001,3.11936155704335,0.00337254408855752,"baselines",0.00899345090282005,"**","0.009"
"thematicFit","EventsRev","NumTokens",-0.0129305428597897,0.0226482028505424,38.1102693419395,-0.570930194555373,0.571398500291045,"baselines",0.653026857475481,"","0.653"
"syntax-PPMI","DTFit","(Intercept)",0.659167774571778,0.450438131099371,554.40740560215,1.46339248181091,0.143926719198858,"baselines",0.230282750718172,"","0.23"
"syntax-PPMI","DTFit","PlausibilityImplausible",-0.0241150840838292,0.00482391296577731,398.80189564595,-4.9990711389096,8.64396686209664e-07,"baselines",1.38303469793546e-06,"***","<0.001"
"syntax-PPMI","DTFit","agent_freq_norm",0.0104090739498122,0.00997274236705101,395.751930138585,1.04375241700847,0.297237089958569,"baselines",0.812127330299943,"","0.812"
"syntax-PPMI","DTFit","patient_freq_norm",0.0286513339034354,0.00764306541689968,541.944399610022,3.74867050595748,0.000196876372594169,"baselines",0.000787505490376674,"***","<0.001"
"syntax-PPMI","DTFit","verb_freq_norm",-0.0156504803401533,0.00676763838709275,395.753872220516,-2.31254677702667,0.0212598808352462,"baselines",0.0483034014444673,"*","0.048"
"syntax-PPMI","DTFit","sentence_freq_norm",-0.0820769045434066,0.0124546456022603,395.388739058714,-6.59006343211492,1.40720329278894e-10,"baselines",1.12576263423115e-09,"***","<0.001"
"syntax-PPMI","DTFit","NumTokens",-0.0708959108087302,0.0900728981678206,554.241966268454,-0.787094811545194,0.431562803649216,"baselines",0.628585625551252,"","0.629"
"syntax-PPMI","EventsRev","(Intercept)",0.00988197692896262,0.218504272065284,37.430688817732,0.0452255547937758,0.964167948577827,"baselines",0.964167948577827,"","0.964"
"syntax-PPMI","EventsRev","PlausibilityImplausible",-0.083165057231635,0.0113321179742574,37.239544430993,-7.33888028880009,9.69089046889997e-09,"baselines",2.58423745837333e-08,"***","<0.001"
"syntax-PPMI","EventsRev","agent_freq_norm",0.00994167664609445,0.0324512658292214,71.7019409192993,0.306357129438762,0.76022057502672,"baselines",0.868823514316251,"","0.869"
"syntax-PPMI","EventsRev","patient_freq_norm",0.0141773651591111,0.0322652706575449,72.1172091043451,0.439400162161536,0.661685461903362,"baselines",0.756211956460985,"","0.756"
"syntax-PPMI","EventsRev","verb_freq_norm",-0.057392497141232,0.0344322762697082,37.0873556182142,-1.66682262571537,0.10397428743083,"baselines",0.166358859889328,"","0.166"
"syntax-PPMI","EventsRev","sentence_freq_norm",0.0209827056168477,0.0528154301640246,54.7808097449827,0.397283626237322,0.692702069365981,"baselines",0.831580644278116,"","0.832"
"syntax-PPMI","EventsRev","NumTokens",0.0553443966317942,0.0314189153565521,37.4832698886079,1.76149927531641,0.0863095948029628,"baselines",0.172619189605926,"","0.173"
