"Metric","Parameter","Estimate","Std..Error","df","t.value","pVal","pValAdjusted","pLabel","pValFinal"
"syntax-based_PPMI","PlausibilityImplausible:TrialTypeAI",0.000458473530871489,0.00413501277651366,381.445146372164,0.110875964755311,0.911773020149446,1,"","1"
"syntax-based_PPMI","PlausibilityImplausible:VoiceA>P",0.00137823946793462,0.00499444705511768,713.427497061241,0.275954365463215,0.782663030998464,1,"","1"
"syntax-based_PPMI","TrialTypeAAN:VoiceA>P",0.00545702012144914,0.00510083309309755,714.758072216008,1.06982918708585,0.285057343850391,0.570114687700783,"","0.57"
"syntax-based_PPMI","TrialTypeAI:VoiceA>P",0.0141782845119284,0.00522111957634785,728.053841335086,2.71556402886411,0.00677316441129523,0.0101597466169428,"*","0.01"
"syntax-based_PPMI","PlausibilityImplausible:TrialTypeAAN:VoiceA>P",-0.0199757668550861,0.00720309397992677,713.427497113169,-2.77322035652368,0.00569539176579404,0.0170861752973821,"*","0.017"
"syntax-based_PPMI","PlausibilityImplausible:TrialTypeAI:VoiceA>P",-0.0238255928255162,0.00726465026198936,713.427497254494,-3.27966136927172,0.00108979564008608,0.00163469346012913,"**","0.002"
"v2_sdm","(Intercept)",0.526147306373206,0.0106877959370341,380.128128277615,49.2287941754262,5.1066979336236e-167,1.53200938008708e-166,"***","<0.001"
"v2_sdm","PlausibilityImplausible",-0.00226774826019169,0.00918810327209589,1082.77804238563,-0.246813536269102,0.805099319515462,0.966119183418554,"","0.966"
"v2_sdm","TrialTypeAAN",0.0209015915878246,0.0152695833784957,378.002417538768,1.36883836773572,0.171862676532811,0.343725353065622,"","0.344"
"v2_sdm","TrialTypeAI",0.017435243550426,0.0160117338214726,392.150195712698,1.088904158964,0.276864873500567,0.41529731025085,"","0.415"
"v2_sdm","VoiceA>P",0.207904215712718,0.0160525453266544,1523.57221687566,12.9514797486666,1.79612657602034e-36,5.38837972806101e-36,"***","<0.001"
"v2_sdm","agent_freq_norm",0.00759831412989092,0.00676823443801496,578.346649478475,1.12264346034081,0.26205478107302,0.39308217160953,"","0.393"
"v2_sdm","patient_freq_norm",0.014014362056994,0.00676619285309335,577.576756149577,2.07123301999691,0.0387805158671706,0.0775610317343413,"","0.078"
"v2_sdm","verb_freq_norm",0.0363833447359232,0.00602446486608316,349.801261717895,6.03926581774193,3.9570134295104e-09,7.9140268590208e-09,"***","<0.001"
"v2_sdm","sentence_freq_norm",0.0243722762891727,0.00991511908253944,647.35290253233,2.45809214052632,0.0142286300542529,0.0284572601085059,"*","0.028"
"v2_sdm","PlausibilityImplausible:TrialTypeAAN",-0.0110346845606799,0.0132220107392018,1082.76142029097,-0.834569323708328,0.404144331497596,0.606216497246394,"","0.606"
"v2_sdm","PlausibilityImplausible:TrialTypeAI",-0.0345899313334365,0.0137556224632952,1082.98213074787,-2.51460313233621,0.0120606464719271,0.0241212929438542,"*","0.024"
"v2_sdm","PlausibilityImplausible:VoiceA>P",-0.0154340037428793,0.0182910338800652,1084.90662827865,-0.843801604878131,0.398966288024752,0.797932576049504,"","0.798"
"v2_sdm","TrialTypeAAN:VoiceA>P",-0.0695242414053287,0.0186644391727332,1087.02277664045,-3.72495743171841,0.000205385041065753,0.00123231024639452,"**","0.001"
"v2_sdm","TrialTypeAI:VoiceA>P",0.0552800125679472,0.0189390934524541,1108.48728757067,2.91883097291461,0.00358445694871083,0.00716891389742166,"**","0.007"
"v2_sdm","PlausibilityImplausible:TrialTypeAAN:VoiceA>P",0.0464271612338089,0.0263797042143296,1084.90662823469,1.75995761198071,0.078696776841446,0.157393553682892,"","0.157"
"v2_sdm","PlausibilityImplausible:TrialTypeAI:VoiceA>P",-0.21373055019303,0.0266051401891857,1084.90662827463,-8.03343070824735,2.45571059842415e-15,1.47342635905449e-14,"***","<0.001"
"order-based_PPMI","(Intercept)",0.140044305487553,0.00608737596041452,376.987893840614,23.0056934873489,8.47715058235756e-74,1.01725806988291e-73,"***","<0.001"
"order-based_PPMI","PlausibilityImplausible",-0.00368059918932514,0.00204749415469283,1013.6119398501,-1.79761157358582,0.0725361161527651,0.178540137028949,"","0.179"
"order-based_PPMI","TrialTypeAAN",0.0181001439211011,0.00869578382661377,375.015561471829,2.08148503711705,0.0380673638124349,0.114202091437305,"","0.114"
"order-based_PPMI","TrialTypeAI",0.0254789777944677,0.00907918897733212,383.409757124666,2.80630548147865,0.00526696043753661,0.0105339208750732,"*","0.011"
"order-based_PPMI","VoiceA>P",-0.017387025196765,0.00439638213122539,1417.77826582357,-3.95484848172621,8.03643220932071e-05,0.000120546483139811,"***","<0.001"
"order-based_PPMI","agent_freq_norm",-0.00395789834934707,0.00311129289710875,641.96747588404,-1.27210728151794,0.203795603454122,0.39308217160953,"","0.393"
"order-based_PPMI","patient_freq_norm",-0.00184530835222414,0.00310903892917389,639.075787380374,-0.593530153292247,0.553036412185252,0.829554618277879,"","0.83"
"order-based_PPMI","verb_freq_norm",-0.0260747457954295,0.00350645394631787,397.916372155793,-7.43621510352664,6.42265578653383e-13,1.92679673596015e-12,"***","<0.001"
"order-based_PPMI","sentence_freq_norm",-0.0197403941521416,0.0035005155033175,1500.05830084645,-5.63928202387142,2.03735739416034e-08,1.22241443649621e-07,"***","<0.001"
"order-based_PPMI","PlausibilityImplausible:TrialTypeAAN",0.00367327008007267,0.00294660625902828,1012.45456540728,1.24661042472775,0.212828709323839,0.606216497246394,"","0.606"
"order-based_PPMI","PlausibilityImplausible:TrialTypeAI",0.00681286671119745,0.003062845214447,1027.98741639167,2.2243588017645,0.026340854794154,0.0395112821912311,"*","0.04"
"order-based_PPMI","PlausibilityImplausible:VoiceA>P",0.0051289196748081,0.00401498118338955,1136.32060525602,1.27744550734809,0.20170594002136,0.605117820064079,"","0.605"
"order-based_PPMI","TrialTypeAAN:VoiceA>P",0.00564249187493086,0.00410083401396377,1137.99737978003,1.37593763993314,0.169111659215204,0.507334977645611,"","0.507"
"order-based_PPMI","TrialTypeAI:VoiceA>P",0.0186545427706648,0.00420089294467847,1154.59923541036,4.44061370197392,9.83037798821668e-06,2.949113396465e-05,"***","<0.001"
"order-based_PPMI","PlausibilityImplausible:TrialTypeAAN:VoiceA>P",-0.0169288046983409,0.00579048821069364,1136.32060534932,-2.92355395302895,0.0035292080170471,0.0170861752973821,"*","0.017"
"order-based_PPMI","PlausibilityImplausible:TrialTypeAI:VoiceA>P",-0.0377068948610371,0.0058399726303848,1136.32060521317,-6.45669033872725,1.58235983342481e-10,4.74707950027443e-10,"***","<0.001"
"surprisal_scores_tinylstm","(Intercept)",0.396318242073659,0.0109703154840615,383.133919138094,36.1264215828123,1.90461359622398e-125,3.80922719244797e-125,"***","<0.001"
"surprisal_scores_tinylstm","PlausibilityImplausible",0.0010390460299756,0.00318753336137895,1068.66049001097,0.325971813366717,0.744509499727685,0.966119183418554,"","0.966"
"surprisal_scores_tinylstm","TrialTypeAAN",-0.0132434999401094,0.0156662408810949,381.708364774083,-0.845352758241505,0.398443485785862,0.597665228678792,"","0.598"
"surprisal_scores_tinylstm","TrialTypeAI",-0.0576749720224916,0.0163690360976599,387.913536169428,-3.52341895261241,0.000476802764771872,0.00143040829431562,"**","0.001"
"surprisal_scores_tinylstm","VoiceA>P",-0.0683017770084807,0.00703054459603982,1379.39141543146,-9.71500515720416,1.26004576805436e-21,2.52009153610873e-21,"***","<0.001"
"surprisal_scores_tinylstm","agent_freq_norm",-0.0340553925491287,0.00550850883487896,610.109376844982,-6.1823251210011,1.15642541279752e-09,6.93855247678514e-09,"***","<0.001"
"surprisal_scores_tinylstm","patient_freq_norm",-0.0356072305832368,0.00550614979880651,608.479408201088,-6.46681109020224,2.05658802315819e-10,1.23395281389491e-09,"***","<0.001"
"surprisal_scores_tinylstm","verb_freq_norm",-0.0163638020818339,0.0064202003743606,399.631698719468,-2.5487992784748,0.0111824257434265,0.0167736386151398,"*","0.017"
"surprisal_scores_tinylstm","sentence_freq_norm",0.0107991614678485,0.00567707010323376,1483.42136540016,1.90224204941508,0.0573330305019681,0.0687996366023618,"","0.069"
"surprisal_scores_tinylstm","PlausibilityImplausible:TrialTypeAAN",0.00407885288220382,0.00458714444615256,1067.91997381253,0.88919216084964,0.374100062722631,0.606216497246394,"","0.606"
"surprisal_scores_tinylstm","PlausibilityImplausible:TrialTypeAI",0.0393793519652492,0.00476986508122949,1077.79154629432,8.25586285872445,4.37325992956495e-16,2.62395595773897e-15,"***","<0.001"
"surprisal_scores_tinylstm","PlausibilityImplausible:VoiceA>P",-0.000519185789971385,0.00629148468929184,1142.4977001784,-0.0825219825862477,0.934246093281138,1,"","1"
"surprisal_scores_tinylstm","TrialTypeAAN:VoiceA>P",0.000689348214646275,0.00642672248220753,1143.90091036024,0.107262794768989,0.914599308554016,1,"","1"
"surprisal_scores_tinylstm","TrialTypeAI:VoiceA>P",-0.0140051533731285,0.00659069658375567,1157.76434599327,-2.12498833699119,0.0337989191431432,0.0405587029717719,"*","0.041"
"surprisal_scores_tinylstm","PlausibilityImplausible:TrialTypeAAN:VoiceA>P",-0.00287485975468022,0.00907370825841534,1142.49770009379,-0.316834052055173,0.751427407530813,0.901712889036975,"","0.902"
"surprisal_scores_tinylstm","PlausibilityImplausible:TrialTypeAI:VoiceA>P",0.00338706114733006,0.00915125045715176,1142.49770019847,0.370120035856198,0.7113616540034,0.853633984804079,"","0.854"
