"Dataset","Model","VoiceType","TrialType","term","estimate","std.error","statistic","p.value","pValAdjusted","pLabel","pValFinal"
"EventsAdapt","GPT-J","all","all","(Intercept)",0.915153846153846,0.011445944054966,79.954422436373,4.89547944465303e-201,1.95819177786121e-200,"***","<0.001"
"EventsAdapt","GPT-J","all","all","LayerGroupearly",-0.281088461538463,0.012004607400509,-23.4150482527688,4.50620303346261e-69,2.70372182007757e-68,"***","<0.001"
"EventsAdapt","GPT-J","all","all","LayerGroupmid",-0.0797777777777778,0.0120650843948521,-6.61228510028636,1.78990643713635e-10,2.3865419161818e-10,"***","<0.001"
"EventsAdapt","GPT-J","all","all","LayerGrouplate",-0.0620961538461538,0.0120046074005089,-5.17269343131716,4.28541121218106e-07,6.4281168182716e-07,"***","<0.001"
"EventsAdapt","GPT-J","all","all","LayerGroupearly:cLayerWithinGroup",0.0313498834498835,0.00126015696621811,24.877760699898,3.27518668289514e-74,3.93022401947416e-73,"***","<0.001"
"EventsAdapt","GPT-J","all","all","LayerGroupmid:cLayerWithinGroup",0.00531666666666667,0.00147766502355017,3.59801888921555,0.000376293660186993,0.000752587320373987,"***","<0.001"
"EventsAdapt","GPT-J","all","all","LayerGrouplate:cLayerWithinGroup",0.000679487179487182,0.00126015696621811,0.539208366658012,0.590152571577909,0.708183085893491,"","0.708"
"EventsAdapt","GPT-2","all","all","(Intercept)",0.915153846153847,0.0124129607827533,73.7256696585535,2.13992665555925e-268,2.5679119866711e-267,"***","<0.001"
"EventsAdapt","GPT-2","all","all","LayerGroupearly",-0.348257918552038,0.0127728312700298,-27.2655225133359,1.71396450161674e-100,2.05675740194009e-99,"***","<0.001"
"EventsAdapt","GPT-2","all","all","LayerGroupmid",-0.160403846153847,0.0127949871084853,-12.5364601616106,1.7287440064373e-31,1.03724640386238e-30,"***","<0.001"
"EventsAdapt","GPT-2","all","all","LayerGrouplate",-0.139627403846154,0.0127949871084852,-10.9126646758055,5.554771673909e-25,6.6657260086908e-24,"***","<0.001"
"EventsAdapt","GPT-2","all","all","LayerGroupearly:cLayerWithinGroup",0.00892533936651586,0.000614533131005443,14.5237724643308,4.83272673146579e-40,1.15985441555179e-39,"***","<0.001"
"EventsAdapt","GPT-2","all","all","LayerGroupmid:cLayerWithinGroup",0.00528721719457014,0.000673187316371917,7.85400595938902,2.53934520390292e-14,2.88109706669544e-13,"***","<0.001"
"EventsAdapt","GPT-2","all","all","LayerGrouplate:cLayerWithinGroup",0.000429694570135747,0.000673187316371917,0.63829867213118,0.523575660087837,0.708183085893491,"","0.708"
"EventsRev","RoBERTa","all","all","(Intercept)",0.9875,0.0413599495296221,23.8757544733644,9.37936417804012e-67,9.37936417804012e-67,"***","<0.001"
"EventsRev","RoBERTa","all","all","LayerGroupearly",-0.411574074074071,0.0435972148077383,-9.44037539758202,2.56095936000036e-18,3.07315123200043e-18,"***","<0.001"
"EventsRev","RoBERTa","all","all","LayerGroupmid",-0.300520833333334,0.0438688511728939,-6.85043773197832,5.57185666234846e-11,8.3577849935227e-11,"***","<0.001"
"EventsRev","RoBERTa","all","all","LayerGrouplate",-0.241666666666666,0.0438688511728938,-5.50884420734479,8.87607762306781e-08,1.77521552461356e-07,"***","<0.001"
"EventsRev","RoBERTa","all","all","LayerGroupearly:cLayerWithinGroup",0.0213194444444443,0.00533954652427353,3.99274439271692,8.56398777137872e-05,9.34253211423133e-05,"***","<0.001"
"EventsRev","RoBERTa","all","all","LayerGroupmid:cLayerWithinGroup",0.0180059523809524,0.00638197876668374,2.8213745358963,0.00516122987409502,0.00884782264130576,"**","0.009"
"EventsRev","RoBERTa","all","all","LayerGrouplate:cLayerWithinGroup",-0.0115079365079365,0.00638197876668374,-1.80319254084832,0.0725477142289198,0.217643142686759,"","0.218"
"EventsRev","BERT","all","all","(Intercept)",0.9875,0.0351604358612977,28.0855448975528,1.01147356981844e-79,1.21376828378213e-79,"***","<0.001"
"EventsRev","BERT","all","all","LayerGroupearly",-0.451851851851849,0.0370623536153214,-12.1916664155148,3.33249713003134e-27,4.44332950670846e-27,"***","<0.001"
"EventsRev","BERT","all","all","LayerGroupmid",-0.377083333333334,0.0372932739404975,-10.1112960459031,2.09063481947603e-20,5.46938749382206e-20,"***","<0.001"
"EventsRev","BERT","all","all","LayerGrouplate",-0.219270833333333,0.0372932739404974,-5.87963485542156,1.29405751195512e-08,3.10573802869229e-08,"***","<0.001"
"EventsRev","BERT","all","all","LayerGroupearly:cLayerWithinGroup",0.0088888888888887,0.00453919275120667,1.95825323490079,0.0512991531464453,0.0512991531464453,"","0.051"
"EventsRev","BERT","all","all","LayerGroupmid:cLayerWithinGroup",0.00347222222222222,0.00542537303952551,0.639996954481474,0.522753719109416,0.570276784483,"","0.57"
"EventsRev","BERT","all","all","LayerGrouplate:cLayerWithinGroup",0.0127480158730159,0.00542537303952551,2.34970310431055,0.0195575666327852,0.117345399796711,"","0.117"
"EventsRev","GPT-J","all","all","(Intercept)",0.987499999999997,0.0407602168765955,24.227054605468,6.14228062251169e-72,6.70066977001275e-72,"***","<0.001"
"EventsRev","GPT-J","all","all","LayerGroupearly",-0.272083333333335,0.0427496761135078,-6.364570637001,7.53247997161076e-10,7.53247997161076e-10,"***","<0.001"
"EventsRev","GPT-J","all","all","LayerGroupmid",-0.156481481481481,0.0429650410841587,-3.64206521238906,0.000319731993592013,0.000319731993592013,"***","<0.001"
"EventsRev","GPT-J","all","all","LayerGrouplate",-0.133333333333333,0.0427496761135076,-3.1189320120066,0.00199571844700612,0.00199571844700612,"**","0.002"
"EventsRev","GPT-J","all","all","LayerGroupearly:cLayerWithinGroup",0.0279040404040407,0.00448755218398235,6.21809825491056,1.72967269687751e-09,2.30623026250334e-09,"***","<0.001"
"EventsRev","GPT-J","all","all","LayerGroupmid:cLayerWithinGroup",0.00701388888888889,0.00526212137169522,1.33290138965938,0.183599681499438,0.275399522249157,"","0.275"
"EventsRev","GPT-J","all","all","LayerGrouplate:cLayerWithinGroup",-0.00146464646464646,0.00448755218398235,-0.326379817904804,0.744370009011243,0.812040009830447,"","0.812"
"EventsRev","GPT-2","all","all","(Intercept)",0.987500000000004,0.0396482462209955,24.9065240993454,2.98605453073151e-89,3.98140604097534e-89,"***","<0.001"
"EventsRev","GPT-2","all","all","LayerGroupearly",-0.356127450980394,0.0407977087816953,-8.72910419764009,3.9897021561903e-17,4.3524023522076e-17,"***","<0.001"
"EventsRev","GPT-2","all","all","LayerGroupmid",-0.170052083333334,0.0408684767599151,-4.16095966415186,3.73935116528806e-05,4.07929218031425e-05,"***","<0.001"
"EventsRev","GPT-2","all","all","LayerGrouplate",-0.195052083333333,0.0408684767599148,-4.77267808338397,2.39931571826677e-06,2.87917886192012e-06,"***","<0.001"
"EventsRev","GPT-2","all","all","LayerGroupearly:cLayerWithinGroup",0.011376633986928,0.00196288067895263,5.79588668272918,1.21387052063883e-08,1.45664462476659e-08,"***","<0.001"
"EventsRev","GPT-2","all","all","LayerGroupmid:cLayerWithinGroup",0.00226102941176471,0.00215022805110682,1.05153005077803,0.293530353821393,0.352236424585671,"","0.352"
"EventsRev","GPT-2","all","all","LayerGrouplate:cLayerWithinGroup",-0.00420955882352941,0.00215022805110682,-1.95772667990382,0.0508257906374794,0.203303162549918,"","0.203"
