"Model","TrialType","term","estimate","std.error","statistic","p.value","pValAdjusted","pLabel","pValFinal"
"GPT-2","TrainOn:AAN-TestOn:AAN","LayerGrouplate",-0.0995392628205128,0.0225204165252842,-4.41995656291516,1.21503178542318e-05,1.62004238056424e-05,"***","<0.001"
"GPT-2","TrainOn:AAN-TestOn:AAN","LayerGroupearly:cLayerWithinGroup",0.00948419431875311,0.00108163782905664,8.76836410855275,2.95242567031209e-17,5.55750714411688e-17,"***","<0.001"
"GPT-2","TrainOn:AAN-TestOn:AAN","LayerGroupmid:cLayerWithinGroup",0.00541053921568628,0.00118487487605047,4.5663380370771,6.27671680960306e-06,1.33903291938199e-05,"***","<0.001"
"GPT-2","TrainOn:AAN-TestOn:AAN","LayerGrouplate:cLayerWithinGroup",0.000474641779788839,0.00118487487605047,0.400583883904229,0.688900048646599,0.847876982949661,"","0.848"
"GPT-2","TrainOn:AAN-TestOn:AAR","(Intercept)",0.850367647058829,0.0233984851610244,36.3428504540675,1.47285712455779e-141,2.61841266588051e-141,"***","<0.001"
"GPT-2","TrainOn:AAN-TestOn:AAR","LayerGroupearly",-0.388471246707643,0.024076842597562,-16.134642452951,2.4817145230037e-47,5.29432431574122e-47,"***","<0.001"
"GPT-2","TrainOn:AAN-TestOn:AAR","LayerGroupmid",-0.443581266461814,0.0241186064495878,-18.3916623619602,6.63386367889399e-58,2.35870708582897e-57,"***","<0.001"
"GPT-2","TrainOn:AAN-TestOn:AAR","LayerGrouplate",-0.488683878402109,0.0241186064495876,-20.261696272691,7.44244672297825e-67,2.9769786891913e-66,"***","<0.001"
"GPT-2","TrainOn:AAN-TestOn:AAR","LayerGroupearly:cLayerWithinGroup",0.00692127597307573,0.00115839762957822,5.9748706284869,4.41628804570468e-09,5.88838406093958e-09,"***","<0.001"
"GPT-2","TrainOn:AAN-TestOn:AAR","LayerGroupmid:cLayerWithinGroup",-0.00359800263388938,0.00126896102456101,-2.83539254890362,0.00476501539146484,0.00762402462634374,"**","0.008"
"GPT-2","TrainOn:AAN-TestOn:AAR","LayerGrouplate:cLayerWithinGroup",-0.000677677787532925,0.00126896102456101,-0.534041451562601,0.59355357308102,0.759748573543706,"","0.76"
